,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
40,Chicken McNuggetsÂ® (6 piece),280.0,13.0,18.0,0.0,0.0,1.0,18.0,3.0,0.0,540.0,0.0,40.0
41,Chicken McNuggetsÂ® (10 piece),470.0,22.0,30.0,0.0,0.0,2.0,30.0,5.0,0.0,900.0,0.0,65.0
42,Barbeque Sauce,50.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0
43,Honey,50.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Hot Mustard Sauce,60.0,1.0,9.0,6.0,0.0,2.0,2.5,0.0,0.0,250.0,0.0,5.0
45,Sweet âN Sour Sauce,50.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0
46,Chicken SelectsÂ® Premium Breast Strips (3 pc),400.0,23.0,23.0,0.0,0.0,0.0,24.0,3.5,0.0,1010.0,0.0,50.0
47,Chicken SelectsÂ® Premium Breast Strips (5 pc),660.0,38.0,39.0,0.0,0.0,0.0,40.0,6.0,0.0,1680.0,0.0,85.0
48,Spicy Buffalo Sauce,60.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,800.0,0.0,0.0
49,Creamy Ranch Sauce,170.0,0.0,2.0,1.0,0.0,0.0,18.0,3.0,0.0,270.0,0.0,10.0
50,Tangy Honey Mustard Sauce,60.0,0.0,10.0,8.0,0.0,0.0,2.0,0.0,0.0,140.0,0.0,5.0
51,Southwestern Chipotle Barbeque Sauce,60.0,0.0,15.0,11.0,0.0,1.0,0.0,0.0,0.0,210.0,0.0,0.0
52,Premium Southwest Salad with Grilled Chicken,320.0,30.0,30.0,11.0,0.0,6.0,9.0,3.0,0.0,960.0,0.0,70.0
53,Premium Southwest Salad with Crispy Chicken,430.0,26.0,38.0,12.0,0.0,6.0,20.0,4.0,0.0,920.0,0.0,55.0
54,Premium Southwest Salad (without chicken),140.0,6.0,20.0,6.0,0.0,6.0,4.5,2.0,0.0,150.0,0.0,10.0
55,Premium Bacon Ranch Salad with Grilled Chicken,260.0,33.0,12.0,5.0,0.0,3.0,9.0,4.0,0.0,1010.0,0.0,90.0
56,Premium Bacon Ranch Salad with Crispy Chicken,370.0,29.0,20.0,6.0,0.0,3.0,20.0,6.0,0.0,970.0,0.0,75.0
57,Premium Bacon Ranch Salad (without chicken),140.0,9.0,10.0,4.0,0.0,3.0,7.0,3.5,0.0,300.0,0.0,25.0
58,Premium Caesar Salad with Grilled Chicken,220.0,30.0,12.0,5.0,0.0,3.0,6.0,3.0,0.0,890.0,0.0,75.0
59,Premium Caesar Salad with Crispy Chicken,330.0,26.0,20.0,6.0,0.0,3.0,17.0,4.5,0.0,840.0,0.0,60.0
60,Premium Caesar Salad (without chicken),90.0,7.0,9.0,4.0,0.0,3.0,4.0,2.5,0.0,180.0,0.0,10.0
61,Side Salad,20.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0
62,Butter Garlic Croutons,60.0,2.0,10.0,0.0,0.0,1.0,1.5,0.0,0.0,140.0,0.0,0.0
63,Snack Size Fruit & Walnut Salad,210.0,4.0,31.0,25.0,0.0,2.0,8.0,1.5,0.0,60.0,0.0,5.0
64,Salad Dressings,,,,,0.0,,,,,,0.0,
65,Newmanâs OwnÂ® Creamy Southwest Dressing,100.0,1.0,11.0,3.0,0.0,0.0,6.0,1.0,0.0,340.0,0.0,20.0
66,Newmanâs OwnÂ® Creamy Caesar Dressing,190.0,2.0,4.0,2.0,0.0,0.0,18.0,3.5,0.0,500.0,0.0,20.0
67,Newmanâs OwnÂ® Low Fat Balsamic Vinaigrette,40.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,730.0,0.0,0.0
68,Newmanâs OwnÂ® Low Fat Family Recipe Italian Dressing,60.0,1.0,8.0,1.0,0.0,0.0,2.5,0.0,0.0,730.0,0.0,0.0
69,Newmanâs OwnÂ® Ranch Dressing,170.0,1.0,9.0,4.0,0.0,0.0,15.0,2.5,0.0,530.0,0.0,20.0
70,Egg McMuffinÂ®,300.0,18.0,30.0,3.0,0.0,2.0,12.0,5.0,0.0,820.0,0.0,260.0
71,Sausage McMuffinÂ®,370.0,14.0,29.0,2.0,0.0,2.0,22.0,8.0,0.0,850.0,0.0,45.0
