Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg,Health_Label_for_normal_person,Health_Label_High_Cholesterol,Health_Label_High_fat,Health_Label_High_sugar
106.0,8.25,11.67,11.0,0.0,1.0,2.92,1.832,0.0,34.0,0.07,13.0,0,1.0,1,1.0
103.0,8.17,11.89,11.23,0.0,1.0,2.57,1.599,0.0,33.0,0.07,12.0,0,1.0,1,1.0
82.0,8.05,12.07,11.27,0.0,0.6,0.15,0.105,0.0,33.0,0.09,4.0,0,1.0,1,1.0
78.0,8.64,10.37,9.54,0.0,0.5,0.18,0.133,0.0,34.0,0.04,3.0,0,1.0,1,1.0
73.0,9.95,3.94,3.56,0.0,0.0,1.92,1.23,0.0,34.0,0.04,10.0,0,1.0,1,1.0
41.0,3.79,4.48,4.61,0.0,0.0,0.93,0.658,0.0,40.0,0.04,5.0,0,1.0,1,1.0
62.0,3.39,10.2,9.21,0.0,0.0,0.9,0.533,0.0,37.0,0.04,5.0,0,1.0,1,1.0
107.0,6.67,15.74,6.67,0.0,0.0,2.0,1.204,0.0,100.0,0.19,0.0,0,0.0,1,1.0
67.0,3.39,13.46,9.32,0.0,0.0,0.0,0.0,0.0,110.0,0.27,2.0,0,1.0,0,1.0
97.0,9.0,3.98,4.0,0.0,0.0,5.0,2.395,0.0,35.0,0.0,13.0,0,1.0,1,1.0
106.0,7.33,12.29,12.0,0.0,0.0,3.0,1.599,0.0,37.0,0.0,10.0,0,1.0,1,1.0
78.0,2.94,17.04,5.88,0.0,0.0,0.0,0.0,0.0,47.0,0.0,3.0,0,1.0,0,1.0
95.0,8.64,9.54,9.54,0.0,0.0,2.5,1.465,0.0,40.0,0.04,5.0,0,1.0,1,1.0
139.0,8.0,21.0,21.0,0.0,0.0,2.5,1.509,0.0,45.0,0.0,45.0,0,1.0,1,1.0
